step,mloss,gloss,loss
100.0,0.838,1.1705,2.0085
200.0,0.8278,1.0042,1.8319999999999999
300.0,0.7742,0.9904,1.7646
400.0,0.7966,0.9712,1.7677999999999998
500.0,0.7552,0.9454,1.7006000000000001
600.0,0.7638,0.9133,1.6771
700.0,0.7938,0.8691,1.6629
800.0,0.7632,0.8089,1.5720999999999998
900.0,0.7776,0.742,1.5196
1000.0,0.7687,0.6684,1.4371
1100.0,0.7509,0.5977,1.3486
1200.0,0.7609,0.5415,1.3024
1300.0,0.7602,0.4854,1.2456
1400.0,0.7384,0.43,1.1683999999999999
1500.0,0.7346,0.3838,1.1184
1600.0,0.7114,0.3507,1.0621
1700.0,0.729,0.3138,1.0428
1800.0,0.7125,0.2859,0.9984
1900.0,0.7148,0.2679,0.9827
2000.0,0.6971,0.2473,0.9444
2100.0,0.6849,0.2348,0.9197
2200.0,0.6983,0.2358,0.9341
2300.0,0.7355,0.2299,0.9654
2400.0,0.7036,0.2209,0.9245
2500.0,0.678,0.2183,0.8963000000000001
2600.0,0.6709,0.2213,0.8922000000000001
2700.0,0.6755,0.2146,0.8901
2800.0,0.6875,0.2136,0.9011
2900.0,0.6804,0.2136,0.894
3000.0,0.6887,0.2154,0.9041
3100.0,0.6606,0.2112,0.8717999999999999
3200.0,0.6738,0.2098,0.8835999999999999
3300.0,0.6725,0.208,0.8805
3400.0,0.6765,0.2105,0.887
3500.0,0.6523,0.21,0.8623
3600.0,0.7113,0.2135,0.9248000000000001
3700.0,0.6687,0.2083,0.877
3800.0,0.6764,0.2033,0.8797
3900.0,0.6853,0.2053,0.8906000000000001
4000.0,0.6697,0.1993,0.869
4100.0,0.6511,0.1981,0.8492
4200.0,0.6772,0.1991,0.8763000000000001
4300.0,0.6757,0.1975,0.8732
4400.0,0.659,0.1946,0.8536
4500.0,0.6446,0.1892,0.8338
4600.0,0.6448,0.1906,0.8354
4700.0,0.6742,0.1883,0.8625
4800.0,0.6478,0.1805,0.8283
4900.0,0.6647,0.185,0.8496999999999999
5000.0,0.6631,0.1811,0.8442000000000001
5100.0,0.652,0.1849,0.8369
5200.0,0.6407,0.1799,0.8206
5300.0,0.6386,0.1779,0.8165
5400.0,0.6556,0.1749,0.8305
5500.0,0.6786,0.1786,0.8572
5600.0,0.6352,0.1728,0.808
5700.0,0.659,0.1761,0.8351000000000001
5800.0,0.6442,0.1735,0.8177
5900.0,0.6771,0.1776,0.8547
6000.0,0.6321,0.1675,0.7996
6100.0,0.6574,0.1695,0.8269
6200.0,0.6518,0.168,0.8198000000000001
6300.0,0.6485,0.1657,0.8141999999999999
6400.0,0.6461,0.1651,0.8112
6500.0,0.6322,0.164,0.7962
6600.0,0.6046,0.1567,0.7613000000000001
6700.0,0.636,0.1624,0.7984
6800.0,0.646,0.1618,0.8078000000000001
6900.0,0.6443,0.1605,0.8048
7000.0,0.6228,0.1581,0.7809
7100.0,0.6462,0.1594,0.8056
7200.0,0.6194,0.1547,0.7741
7300.0,0.6442,0.1553,0.7995
7400.0,0.6481,0.1565,0.8046
7500.0,0.6198,0.161,0.7808
7600.0,0.6396,0.1565,0.7960999999999999
7700.0,0.6506,0.1539,0.8045
7800.0,0.6452,0.1521,0.7973
7900.0,0.6329,0.1498,0.7827
8000.0,0.6031,0.1492,0.7523
8100.0,0.6374,0.1517,0.7890999999999999
8200.0,0.6417,0.1532,0.7949
8300.0,0.6469,0.1521,0.799
8400.0,0.6245,0.1516,0.7761
8500.0,0.6137,0.1452,0.7589
8600.0,0.6384,0.149,0.7874
8700.0,0.6155,0.1462,0.7617
8800.0,0.6269,0.1557,0.7826
8900.0,0.6374,0.1499,0.7873
9000.0,0.6166,0.1446,0.7612000000000001
9100.0,0.6075,0.144,0.7515000000000001
9200.0,0.6022,0.1412,0.7434
9300.0,0.6088,0.1455,0.7543
9400.0,0.6066,0.1423,0.7489
9500.0,0.6123,0.1404,0.7526999999999999
9600.0,0.6156,0.142,0.7576
9700.0,0.6017,0.1413,0.743
9800.0,0.6151,0.1418,0.7569
9900.0,0.6114,0.1453,0.7567
10000.0,0.6199,0.1414,0.7613
10100.0,0.6014,0.1392,0.7406
10200.0,0.6244,0.1432,0.7676
10300.0,0.6463,0.1428,0.7891
10400.0,0.6181,0.1424,0.7605
10500.0,0.6331,0.1445,0.7776
10600.0,0.6166,0.1386,0.7552000000000001
10700.0,0.6113,0.1411,0.7524
10800.0,0.6155,0.1398,0.7553000000000001
10900.0,0.6252,0.1411,0.7663
11000.0,0.6166,0.1486,0.7652000000000001
11100.0,0.6271,0.1413,0.7684
11200.0,0.624,0.1404,0.7644
11300.0,0.6277,0.1365,0.7642
11400.0,0.6132,0.137,0.7502
11500.0,0.5912,0.1372,0.7283999999999999
11600.0,0.6141,0.1358,0.7499
11700.0,0.6167,0.1374,0.7541
11800.0,0.6123,0.1368,0.7491
11900.0,0.6213,0.1345,0.7558
12000.0,0.6118,0.1355,0.7473000000000001
12100.0,0.6219,0.1385,0.7604
12200.0,0.6084,0.1333,0.7417
12300.0,0.6296,0.141,0.7706000000000001
12400.0,0.6176,0.1331,0.7507
12500.0,0.6105,0.1366,0.7471000000000001
12600.0,0.6107,0.1356,0.7463
12700.0,0.6019,0.1345,0.7363999999999999
12800.0,0.5938,0.1378,0.7316
12900.0,0.5907,0.1327,0.7234
13000.0,0.6048,0.1317,0.7365
13100.0,0.595,0.1322,0.7272
13200.0,0.6006,0.131,0.7316
13300.0,0.6257,0.1313,0.757
13400.0,0.6084,0.1332,0.7416
13500.0,0.6147,0.1321,0.7468
13600.0,0.6247,0.1363,0.761
13700.0,0.6256,0.14,0.7656000000000001
13800.0,0.6168,0.1341,0.7509
13900.0,0.6369,0.1286,0.7655000000000001
14000.0,0.6098,0.1315,0.7413000000000001
14100.0,0.6231,0.1304,0.7535
14200.0,0.5906,0.1279,0.7185
14300.0,0.593,0.1305,0.7235
14400.0,0.5956,0.1292,0.7248
14500.0,0.5924,0.1313,0.7237
14600.0,0.5838,0.1283,0.7121
14700.0,0.6166,0.1328,0.7494000000000001
14800.0,0.6218,0.1356,0.7574000000000001
14900.0,0.5996,0.1361,0.7357
15000.0,0.5972,0.127,0.7242
15100.0,0.6264,0.1311,0.7575
15200.0,0.606,0.1313,0.7373
15300.0,0.5812,0.1288,0.7100000000000001
15400.0,0.62,0.1302,0.7502
15500.0,0.5981,0.1247,0.7228
15600.0,0.5873,0.1265,0.7138
15700.0,0.5924,0.1296,0.722
15800.0,0.5988,0.1258,0.7246
15900.0,0.6182,0.1277,0.7459
